id_trajectory,id_in_seq,initial state,current_state,goal_state,out_action,timesteps
2,1,"[0, 0, 1, 0, 0, 0]","[4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.00242293497127862]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.08727, 0.0]",1
2,2,"[0, 0, 1, 0, 0, 0]","[11.181186248664291, -2.3763437972932624, 6.547207513085082, 0.7455292839889501, 0.12245759651839576, 0.011429434240834148]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.06981, 0.0]",1
2,3,"[0, 0, 1, 0, 0, 0]","[17.01495367613355, -2.0282595221333946, 5.055921855748921, 0.7120365221460709, 0.18625263653139879, -0.002974290097242974]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.08727, 0.0]",1
2,4,"[0, 0, 1, 0, 0, 0]","[21.677410460541278, -2.1228615056831073, 4.44582629846231, 0.8205457304513029, 0.06036735944630845, -0.007641952118515987]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.05236, 0.0]",1
2,5,"[0, 0, 1, 0, 0, 0]","[26.641741039702943, -3.334394970661073, 5.989694443376687, 0.6178100912700288, -0.19897564826339498, -0.0020391626126596662]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.06981, 0.0]",1
2,6,"[0, 0, 1, 0, 0, 0]","[33.194826031144515, -4.6926125804382135, 6.963855162386165, 0.6737145279457467, 0.015246429524327098, 0.008453674352531831]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.06981, 0.0]",1
2,7,"[0, 0, 1, 0, 0, 0]","[39.6869939564171, -4.569925540261105, 5.744246286466554, 0.6864563578360198, 0.20144968273350336, 0.0018233579479031902]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.10472, 0.0]",1
2,8,"[0, 0, 1, 0, 0, 0]","[44.466676644859795, -4.1107854284429415, 3.9402732640095883, 0.9756177620949823, 0.18319161289503552, -0.019407662045101744]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.06981, 0.0]",1
2,9,"[0, 0, 1, 0, 0, 0]","[49.014732169991746, -5.300510895777707, 5.659782395014539, 0.6898148026773576, -0.181592153509242, 0.0003832095670191811]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.03491, 0.0]",1
2,10,"[0, 0, 1, 0, 0, 0]","[55.451106939840706, -7.555758400023739, 7.957282780999117, 0.49103878882151364, -0.2797344057024883, 0.0014133462505565664]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.10472, 0.0]",1
2,11,"[0, 0, 1, 0, 0, 0]","[62.96193517271704, -7.4465421545086175, 6.220016372701447, 0.7767031374875546, 0.49631292219242584, 0.016259541182803393]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]","[-0.08727, 0.0]",1
2,12,"[0, 0, 1, 0, 0, 0]","[65.45468280871742, -6.391273266565393, 3.6948179383998987, 0.8022287069173787, 0.5456404549906363, -0.01016660998751487]","[65.45650918893115, -5.43049229897531, 0, 0, 0, 0]",[],1
3,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]","[-0.05236, 0.0]",1
3,1,"[0, 0, 1, 0, 0, 0]","[4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.00242293497127862]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]","[-0.0, 0.0]",1
3,2,"[0, 0, 1, 0, 0, 0]","[11.340265584650075, -4.808308579295759, 9.458643202613153, 0.23948448844563003, -0.5979603954845759, -0.007738665851972252]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]","[-0.03491, 0.0]",1
3,3,"[0, 0, 1, 0, 0, 0]","[21.072353159630815, -9.838886606633467, 11.923622839326567, 0.47910996198299965, -0.26010697770327734, 0.0124236437395039]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]","[-0.0, 0.0]",1
3,4,"[0, 0, 1, 0, 0, 0]","[32.569713663174724, -14.39418416208291, 13.071659927300889, 0.19281679155861695, -0.45012593631662823, -0.005323543614889928]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]","[-0.05236, 0.0]",1
3,5,"[0, 0, 1, 0, 0, 0]","[44.877744979840124, -15.75820266015874, 11.209460538900727, 0.5976001570963321, 0.3124058994730166, 0.01974481685450948]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]","[-0.05236, 0.0]",1
3,6,"[0, 0, 1, 0, 0, 0]","[52.426556090656995, -12.111717197810199, 5.4210340525931615, 0.5525606503908194, 0.655909558141902, -0.00021822449156843433]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]",[],1
4,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[48.214939490988144, -19.801490657199167, 0, 0, 0, 0]","[-0.0, 0.0]",1
4,1,"[0, 0, 1, 0, 0, 0]","[4.833593742993324, -1.9561447297269416, 7.023492212473488, 0.33250685111525674, -0.53210536563414, -0.011984719408558431]","[48.214939490988144, -19.801490657199167, 0, 0, 0, 0]","[-0.01745, 0.0]",1
4,2,"[0, 0, 1, 0, 0, 0]","[12.372279371580719, -7.233444356472249, 11.197549274327457, 0.32787400882419043, -0.564533901982353, 0.002735608037242335]","[48.214939490988144, -19.801490657199167, 0, 0, 0, 0]","[-0.01745, 0.0]",1
