id_camino,id_in_seq,initial state,current_state,goal_state,out_action,timesteps
0,0,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[0.0, 0.0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
0,1,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[0.5749404448548332, -0.10775733619283352, 2.895792719301533, 1.1758523300446162, 0.020626229148141696, -0.07799415140108842]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",0.2
0,2,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[1.1842236491146392, -0.44206692908192896, 3.7996233200856877, 1.032470090716109, -0.319624289037553, -0.03624131502569113]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
0,3,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[1.9044028351399163, -0.9423987097056097, 4.883235491598565, 0.48071693150598466, -0.5374722235415265, -0.021593753590382285]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
0,4,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[2.7508145675938995, -1.6166952774197485, 5.983643141204132, 0.36618100674717297, -0.6433504199441255, -0.013928363522496212]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
0,5,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[3.720500073249835, -2.4906299602347217, 7.138555174864128, 0.28933499963560866, -0.7185793443281671, -0.01032079761110614]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.06981, 0.0]",0.2
0,6,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[4.847382188854532, -3.52880411715334, 8.216685927372211, 0.6075684538801956, -0.6261187210182417, 0.017169067199744405]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
0,7,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[6.188765955070512, -4.629219276303295, 9.213541083014226, 0.2321363887127065, -0.6772208539884029, -0.007553428389884014]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",0.2
0,8,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[7.726055437116511, -5.769295596596011, 9.956184868903419, 0.8764588604841603, -0.43882507272639065, 0.039538284461827264]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.06981, 0.0]",0.2
0,9,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[9.570991712194553, -6.617858234310965, 10.38410681663002, 0.6930829065555241, -0.2848312218253597, 0.0250747202774119]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.05236, 0.0]",0.2
0,10,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[11.571962983722793, -7.21176096317284, 10.548089171793444, 0.5921250434880867, -0.17769238108261315, 0.017191476193137288]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.05236, 0.0]",0.2
0,11,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[13.636001010325415, -7.58803595591203, 10.498848865433558, 0.595854997669801, -0.0704885691720184, 0.016908831690729032]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.06981, 0.0]",0.2
0,12,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[15.697040120127431, -7.711297994985493, 10.2006545096959, 0.7036669968898852, 0.08404682249809697, 0.023946974110795723]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.06981, 0.0]",0.2
0,13,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[17.6702386990505, -7.540252252411564, 9.65018907695527, 0.6893724269016972, 0.22796689500553127, 0.02181549975042908]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.08727, 2]",0.2
0,14,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[19.420119740392526, -7.042685941003243, 8.650496492369298, 0.42278705420432544, 0.4683268797278043, 0.044104378918084955]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.05236, 0.0]",0.2
0,15,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[20.87122477834011, -6.33817432190239, 7.539056504545647, 0.5463273434459985, 0.5517450966317509, 0.007869394101803944]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]","[-0.10472, 2]",0.2
0,16,"[0, 0, 2.7245190422836854, 1.0139356111280577, 0.35627158779059453, 0]","[22.021409566605115, -5.607663588880662, 6.149498197526792, 0.424463667338509, 0.7501090495216554, 0.035352793656803806]","[22.043321751055934, -5.378638871090353, 0, 0, 0.5235987755982988, 0]",[],0.2
1,0,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[0.0, 0.0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.08727, 2]",0.2
1,1,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[0.5366965085270424, -0.025205535334473606, 2.3466147708877774, 0.8326485552445024, 0.2173154686661002, -0.012819533246561684]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 2]",0.2
1,2,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[0.981435765179556, -0.11752616676805495, 2.0245607451550294, 0.8671847848835871, 0.08158323523417237, -0.03053921470553855]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.05236, 2]",0.2
1,3,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[1.3739655363953045, -0.2865648287582725, 2.0070124633161663, 0.922215776602102, -0.06818240486561367, -0.026267437203081934]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.10472, 6]",0.2
1,4,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[1.6715336477668914, -0.49907216078734284, 0.8651545134861695, 0.38413877445307243, -0.02750196684505651, 0.07843547268057688]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
1,5,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[1.858776636402961, -0.7546519155145287, 0.4452853310785921, 2.3501210422889063, 0.3017600720065651, 0.015929493641556373]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 1]",0.2
1,6,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[2.051971569656696, -0.990787964327365, 0.228159903260044, 1.1434919339694873, 0.5136921170698887, 0.047641807605624]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
1,7,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[2.0822023081228718, -1.0321450827384637, 0.0019929763799729316, 1.4676386394588017, 0.5691642744358053, 0.042446841721583826]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 1]",0.2
1,8,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[2.111519904464958, -1.074875445362844, 0.0006988495986181919, 1.2167495978923513, 0.621289059460461, 0.0423877183584848]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
1,9,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[2.287520047057254, -1.4411798910233256, -1.1352475020640607, 2.6477578446991834, 0.831894998095442, 0.026935662449939737]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 1]",0.2
1,10,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[2.4287015921517017, -1.6355768522236296, -0.19903484883015915, 0.825873129958173, 0.7770944583134732, -0.02020371430817287]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
1,11,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[2.5413344318764595, -1.9606460759637636, -0.817797159385751, 2.4874362376327475, 0.6358052318059806, -0.0275491495199009]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 2]",0.2
1,12,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[2.669177182173637, -2.1657130110853178, 0.1151326912816412, 1.0883608814147565, 0.41002820555362735, -0.03244196893497557]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 1]",0.2
1,13,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[2.774968981475489, -2.354562365213263, 0.2824491405100911, 1.0735324668244675, 0.2517881608815714, -0.0162438865695875]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 1]",0.2
1,14,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[2.888817493001458, -2.5549650443263565, 0.37188695826027096, 1.1215104424349023, 0.21412045076861666, 0.0053936083363495466]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 3]",0.2
1,15,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[2.9610415029290826, -2.6783015640968246, 0.0024389847503920883, 1.215735286501381, 0.3836222804921709, 0.04020558600059152]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 1]",0.2
1,16,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[2.9918663622276167, -2.745104180827409, 0.00037567686159660507, 1.0744481416728535, 0.46591596857317424, 0.04057858886155952]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
